Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2566-11-01 17:42:28 - 2566-11-01 18:14:47,267.341,Running,4.316,1526.713,,,,0.000,0.092,0.349,0.490,0.069,157.633,181.000,,,
2566-11-02 17:43:54 - 2566-11-02 18:26:05,318.283,Running,4.612,1608.846,,,,0.073,0.223,0.141,0.563,0.000,150.512,173.000,,,
2566-11-06 18:54:54 - 2566-11-06 19:30:36,110.427,Running (Indoor),1.148,407.992,,,,0.735,0.053,0.048,0.082,0.082,111.686,179.000,,,
2566-11-07 18:08:49 - 2566-11-07 18:40:14,281.383,Running (Indoor),4.948,1807.166,,,,0.014,0.034,0.588,0.364,0.000,150.575,172.000,,,
2566-11-08 18:20:10 - 2566-11-08 19:03:44,401.117,Running (Indoor),6.828,2399.714,,,,0.012,0.017,0.664,0.307,0.000,150.096,175.000,,,
2566-11-09 18:35:57 - 2566-11-09 18:39:26,16.128,Running (Indoor),0.269,182.990,,,,0.000,0.521,0.479,0.000,0.000,132.507,139.000,,,
2566-11-09 18:40:04 - 2566-11-09 19:13:24,308.381,Running (Indoor),5.560,1965.849,,,,0.020,0.030,0.315,0.530,0.105,159.358,180.000,,,
2566-11-13 07:41:12 - 2566-11-13 08:20:22,337.239,Running,6.038,2048.237,,,,0.000,0.316,0.456,0.228,0.000,144.810,169.000,,,
2566-11-13 17:34:55 - 2566-11-13 18:06:49,273.554,Running,5.044,1858.161,,,,0.017,0.023,0.067,0.864,0.029,163.325,176.000,,,
2566-11-14 07:11:09 - 2566-11-14 07:51:26,342.784,Running,6.335,2292.810,,,,0.000,0.000,0.107,0.878,0.015,162.753,179.000,,,
2566-11-14 17:32:01 - 2566-11-14 17:59:52,219.435,Running,4.024,1615.670,0.250,7.271,4.570,0.012,0.052,0.936,0.000,0.000,145.197,154.000,9.467,64.000,31.000
2566-11-17 17:29:04 - 2566-11-17 18:09:03,287.770,Running,5.127,1749.873,,7.232,4.549,0.000,0.150,0.203,0.476,0.171,159.697,181.000,11.180,,
2566-11-20 17:34:00 - 2566-11-20 17:57:14,165.840,Running,3.141,1169.955,0.250,8.454,4.636,0.025,0.178,0.349,0.448,0.000,147.553,164.000,9.479,,
2566-11-21 17:23:34 - 2566-11-21 17:56:31,279.558,Running,5.113,1845.258,,7.246,4.618,0.000,0.015,0.040,0.945,0.000,162.595,170.000,10.410,,
2566-11-22 17:17:00 - 2566-11-22 18:06:44,361.793,Running,7.042,2549.349,,7.849,4.609,0.008,0.082,0.093,0.817,0.000,161.180,174.000,9.468,52.000,30.000
