Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2566-12-06 18:30:34 - 2566-12-06 18:55:22,200.994,Running (Indoor),3.727,1340.070,,,,0.000,0.032,0.016,0.845,0.107,167.265,179.000,10.329,59.000,32.000
2566-12-07 13:20:35 - 2566-12-07 13:51:55,273.424,Running (Indoor),5.069,1829.336,,,,0.018,0.018,0.161,0.526,0.277,165.464,181.000,10.083,57.000,32.000
2566-12-09 17:29:15 - 2566-12-09 18:02:59,280.347,Running,5.398,1796.633,0.290,7.234,4.714,0.007,0.027,0.279,0.556,0.131,160.285,186.000,10.680,,
2566-12-10 17:22:33 - 2566-12-10 18:01:31,326.848,Running,6.203,1918.350,,5.671,3.695,0.000,0.017,0.204,0.403,0.376,168.966,192.000,11.554,,
2566-12-11 17:40:37 - 2566-12-11 18:22:20,215.018,Running,4.051,1313.620,0.280,5.503,3.743,0.121,0.310,0.093,0.458,0.018,145.736,177.000,11.118,57.000,32.000
2566-12-12 18:04:41 - 2566-12-12 18:33:41,276.384,Running (Indoor),5.062,1592.169,,,,0.050,0.000,0.080,0.760,0.110,165.700,179.000,11.757,51.000,33.000
2566-12-13 13:28:09 - 2566-12-13 13:57:11,276.672,Running (Indoor),5.032,1617.618,,,,0.086,0.086,0.500,0.259,0.069,147.603,184.000,11.591,56.000,33.000
2566-12-13 21:12:02 - 2566-12-13 21:44:15,332.368,Running (Indoor),6.067,1851.608,,,,0.000,0.040,0.040,0.332,0.588,171.976,184.000,11.770,65.000,29.000
2566-12-14 09:49:36 - 2566-12-14 09:55:12,36.473,Running (Indoor),0.668,211.137,,,,0.082,0.213,0.705,0.000,0.000,137.754,152.000,11.778,63.000,30.000
2566-12-15 17:31:05 - 2566-12-15 18:17:11,398.392,Running,7.343,2259.748,0.510,5.527,3.686,0.000,0.042,0.100,0.662,0.196,168.281,184.000,11.890,,
2566-12-16 17:26:05 - 2566-12-16 18:16:58,563.603,Running,10.025,3028.179,,5.479,3.685,0.000,0.000,0.000,0.073,0.927,181.844,192.000,12.425,,
2566-12-18 18:36:32 - 2566-12-18 19:03:51,271.320,Running (Indoor),5.047,1632.430,,,,0.000,0.006,0.216,0.766,0.012,161.153,177.000,11.310,56.000,31.000
2566-12-19 18:09:33 - 2566-12-19 18:39:08,275.690,Running (Indoor),5.094,1610.695,,,,0.018,0.039,0.290,0.596,0.057,157.951,179.000,11.647,54.000,31.000
2566-12-20 18:02:45 - 2566-12-20 18:29:21,273.337,Running (Indoor),5.038,1576.844,,,,0.000,0.000,0.407,0.593,0.000,157.954,172.000,11.725,51.000,31.000
2566-12-21 13:47:15 - 2566-12-21 14:20:54,269.966,Running (Indoor),5.018,1620.787,,,,0.088,0.098,0.569,0.245,0.000,143.372,170.000,11.302,50.000,31.000
2566-12-22 17:40:06 - 2566-12-22 18:13:32,374.418,Running,7.043,1966.304,2.800,5.579,3.898,0.000,0.000,0.005,0.021,0.974,180.819,187.000,12.763,,
2566-12-23 17:24:30 - 2566-12-23 18:13:01,529.661,Running,10.052,2848.219,2.000,5.576,3.762,0.000,0.000,0.025,0.225,0.750,182.775,194.000,12.480,,
2566-12-25 13:25:17 - 2566-12-25 13:52:25,275.522,Running (Indoor),5.063,1532.991,,,,0.000,0.015,0.443,0.504,0.038,158.084,178.000,12.097,49.000,26.000
2566-12-26 17:47:47 - 2566-12-26 18:07:29,169.381,Running,3.027,907.753,,5.122,3.727,0.009,0.134,0.078,0.342,0.437,166.139,186.000,11.613,,
2566-12-28 07:37:58 - 2566-12-28 08:07:19,266.105,Running,5.056,1464.858,,5.609,3.815,0.022,0.304,0.565,0.109,0.000,142.500,161.000,12.224,,
2566-12-28 17:44:22 - 2566-12-28 18:11:36,266.066,Running,5.045,1477.712,0.270,5.553,3.753,0.000,0.004,0.065,0.898,0.033,168.188,178.000,12.125,,
