Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2567-01-01 17:45:12 - 2567-01-01 18:13:10,268.664,Running,5.112,1475.165,0.250,5.631,3.655,0.000,0.012,0.164,0.648,0.176,165.720,184.000,12.247,,
2567-01-02 07:28:04 - 2567-01-02 07:54:03,267.671,Running,5.063,1487.952,,5.651,3.845,0.010,0.005,0.031,0.954,0.000,164.318,174.000,12.099,,
2567-01-02 17:38:46 - 2567-01-02 18:09:33,274.467,Running,5.144,1527.686,,5.326,3.805,0.000,0.089,0.122,0.691,0.098,163.878,179.000,12.099,,
2567-01-03 18:49:30 - 2567-01-03 19:14:09,274.541,Running (Indoor),5.052,1478.315,,,,0.000,0.000,0.112,0.552,0.336,168.471,181.000,12.488,,
2567-01-04 13:58:52 - 2567-01-04 14:23:38,278.526,Running (Indoor),5.030,1461.348,,,,0.000,0.000,0.155,0.845,0.000,164.339,172.000,12.744,,
2567-01-06 17:45:50 - 2567-01-06 18:12:15,268.547,Running,5.035,1359.984,,5.372,3.867,0.000,0.000,0.049,0.227,0.724,181.058,201.000,13.194,,
2567-01-07 17:30:54 - 2567-01-07 17:49:46,162.296,Running,3.071,864.281,0.510,5.316,3.867,0.004,0.150,0.106,0.501,0.239,161.049,180.000,12.571,,
2567-01-08 18:22:17 - 2567-01-08 18:47:01,274.458,Running (Indoor),5.073,1484.790,,,,0.000,0.000,0.381,0.612,0.007,159.024,176.000,12.433,,
2567-01-09 18:16:18 - 2567-01-09 18:36:18,186.744,Running (Indoor),3.449,1002.985,,,,0.000,0.095,0.216,0.689,0.000,155.581,168.000,12.482,60.000,29.000
2567-01-10 18:00:15 - 2567-01-10 18:26:31,275.188,Running (Indoor),5.071,1474.840,,,,0.000,0.000,0.111,0.790,0.099,166.303,182.000,12.498,52.000,32.000
2567-01-13 17:49:44 - 2567-01-13 18:13:43,268.425,Running,5.049,1438.501,,5.878,3.799,0.000,0.000,0.000,0.403,0.597,175.733,184.000,12.548,,
2567-01-15 18:27:32 - 2567-01-15 18:57:33,276.357,Running (Indoor),5.089,1495.468,,,,0.000,0.047,0.153,0.700,0.100,163.994,179.000,12.392,51.000,30.000
2567-01-16 17:57:52 - 2567-01-16 18:22:36,267.875,Running,5.062,1388.165,,5.519,3.803,0.000,0.000,0.047,0.825,0.128,166.141,179.000,12.870,,
2567-01-17 17:53:35 - 2567-01-17 18:16:36,272.726,Running,5.071,1380.688,,5.416,3.852,0.000,0.000,0.004,0.440,0.556,175.953,188.000,13.164,,
2567-01-18 17:55:43 - 2567-01-18 18:50:13,268.990,Running,5.077,1338.707,,6.459,3.892,0.286,0.221,0.102,0.162,0.229,140.719,193.000,13.358,,
2567-01-19 17:48:30 - 2567-01-19 18:11:47,271.672,Running,5.036,1338.811,,5.714,3.894,0.000,0.000,0.000,0.111,0.889,182.986,191.000,13.477,,
2567-01-20 17:53:21 - 2567-01-20 18:26:55,374.721,Running,7.039,1987.794,,5.700,3.823,0.000,0.000,0.032,0.580,0.388,172.833,184.000,12.610,,
2567-01-22 17:59:53 - 2567-01-22 18:14:17,166.846,Running (Indoor),3.056,863.183,,,,0.000,0.000,0.000,0.572,0.428,172.058,180.000,12.951,45.000,32.000
2567-01-23 17:56:32 - 2567-01-23 18:12:08,175.881,Running (Indoor),3.250,920.754,,,,0.000,0.000,0.186,0.591,0.223,166.106,182.000,12.771,59.000,29.000
2567-01-24 18:39:05 - 2567-01-24 18:54:45,181.301,Running (Indoor),3.331,935.863,,,,0.000,0.000,0.118,0.882,0.000,163.176,174.000,12.943,54.000,28.000
2567-01-25 18:13:50 - 2567-01-25 18:29:07,167.981,Running (Indoor),3.121,895.829,,,,0.000,0.000,0.404,0.596,0.000,159.672,174.000,12.558,58.000,27.000
2567-01-26 17:50:19 - 2567-01-26 18:04:53,175.991,Running (Indoor),3.244,874.217,,,,0.000,0.000,0.000,0.000,1.000,183.846,196.000,13.446,48.000,30.000
2567-01-29 17:41:04 - 2567-01-29 18:04:53,282.437,Running (Indoor),5.198,1414.299,,,,0.000,0.000,0.010,0.822,0.168,169.483,178.000,13.285,47.000,31.000
2567-01-30 17:33:17 - 2567-01-30 17:56:55,286.131,Running (Indoor),5.260,1415.417,,,,0.000,0.000,0.036,0.906,0.058,168.411,180.000,13.441,55.000,31.000
2567-01-31 17:41:06 - 2567-01-31 18:04:33,274.012,Running (Indoor),5.084,1404.487,,,,0.000,0.000,0.004,0.500,0.496,172.132,183.000,13.032,54.000,32.000
