Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2567-08-02 06:44:35 - 2567-08-02 07:44:34,571.590,Running,10.015,3199.652,4.840,7.205,4.520,0.000,0.067,0.186,0.733,0.014,160.694,191.000,11.920,,
2567-08-04 17:21:36 - 2567-08-04 18:36:47,714.014,Running,12.017,4003.836,,7.197,4.681,0.000,0.058,0.179,0.582,0.181,163.089,182.000,11.998,,
2567-08-05 16:54:16 - 2567-08-05 17:49:16,458.205,Running,8.013,2598.024,3.500,7.199,4.697,0.000,0.013,0.277,0.459,0.251,164.897,185.000,10.393,,
2567-08-06 18:05:22 - 2567-08-06 19:00:02,539.658,Running,10.005,3275.234,,4.256,2.680,0.003,0.162,0.457,0.196,0.182,153.855,193.000,11.194,,
2567-08-07 17:11:49 - 2567-08-07 17:39:15,265.148,Running,5.026,1642.411,,13.239,2.903,0.000,0.077,0.591,0.332,0.000,150.105,168.000,10.992,,
2567-08-07 17:52:21 - 2567-08-07 18:00:08,110.498,Running,2.031,465.636,2.640,4.065,3.141,0.000,0.000,0.043,0.258,0.699,176.570,185.000,15.703,,
2567-08-07 18:05:59 - 2567-08-07 18:14:24,110.093,Running,2.030,478.400,2.620,4.195,3.001,0.000,0.000,0.030,0.129,0.841,181.683,191.000,15.111,,
2567-08-07 18:20:54 - 2567-08-07 18:35:28,107.600,Running,2.019,474.281,,4.127,3.109,0.000,0.000,0.366,0.134,0.500,167.378,190.000,14.941,,
2567-08-07 18:36:20 - 2567-08-07 18:44:19,109.150,Running,2.028,477.121,2.290,4.639,2.977,0.000,0.000,0.021,0.043,0.936,188.809,196.000,15.082,,
2567-08-07 18:52:19 - 2567-08-07 19:01:08,107.095,Running,2.013,484.349,,4.117,2.999,0.000,0.000,0.000,0.145,0.855,185.566,194.000,14.743,,
2567-08-09 17:14:48 - 2567-08-09 18:19:45,615.330,Running,10.363,3607.840,5.070,7.214,4.615,0.003,0.098,0.297,0.602,0.000,154.622,170.000,11.005,,
2567-08-13 18:03:15 - 2567-08-13 18:59:05,531.240,Running,10.173,3348.494,2.640,4.247,2.793,0.000,0.273,0.379,0.288,0.060,147.903,182.000,10.838,,
2567-08-14 17:30:14 - 2567-08-14 17:56:49,262.308,Running,5.018,1525.792,,4.296,2.923,0.031,0.116,0.323,0.530,0.000,153.125,175.000,11.254,,
2567-08-14 18:08:55 - 2567-08-14 18:16:50,106.121,Running,2.042,475.175,2.000,4.210,2.816,0.000,0.011,0.042,0.526,0.421,173.905,183.000,15.166,,
2567-08-14 18:21:41 - 2567-08-14 18:29:59,107.876,Running,2.024,479.365,,4.030,2.823,0.000,0.000,0.038,0.025,0.937,180.800,190.000,14.921,,
2567-08-14 18:36:06 - 2567-08-14 18:47:54,108.204,Running,2.013,482.605,,4.142,2.864,0.000,0.000,0.262,0.184,0.554,173.243,196.000,14.826,,
2567-08-14 18:54:14 - 2567-08-14 19:02:20,106.166,Running,2.023,486.216,2.080,4.139,2.849,0.000,0.000,0.087,0.152,0.761,178.783,190.000,14.718,,
2567-08-14 19:11:47 - 2567-08-14 19:19:55,107.448,Running,2.045,488.388,,4.153,2.933,0.000,0.000,0.000,0.200,0.800,184.800,193.000,14.773,,
2567-08-16 17:37:11 - 2567-08-16 18:04:39,267.728,Running,5.005,1648.097,,5.324,3.657,0.012,0.020,0.561,0.383,0.024,154.913,176.000,11.114,,
2567-08-16 18:17:13 - 2567-08-16 18:29:06,136.254,Running,2.510,655.210,,5.374,3.904,0.000,0.000,0.077,0.385,0.538,172.923,182.000,13.806,,
2567-08-18 06:27:42 - 2567-08-18 07:36:14,666.650,Running,12.041,3983.937,,7.190,4.651,0.020,0.131,0.423,0.426,0.000,151.347,174.000,11.648,,
2567-08-18 17:36:22 - 2567-08-18 18:09:27,256.541,Running,5.019,1721.450,2.000,7.156,4.638,0.116,0.147,0.524,0.213,0.000,140.607,169.000,9.927,,
2567-08-18 18:18:24 - 2567-08-18 18:51:38,392.953,Running,7.026,1994.162,2.620,7.107,4.593,0.000,0.000,0.003,0.384,0.613,177.711,189.000,13.140,,
2567-08-19 17:13:16 - 2567-08-19 17:57:56,377.312,Running,6.505,2580.345,0.570,7.185,-4.183,0.021,0.286,0.691,0.002,0.000,138.305,161.000,9.973,,
2567-08-21 17:01:31 - 2567-08-21 17:30:56,290.108,Running,5.010,1764.893,0.840,7.187,4.623,0.000,0.080,0.072,0.848,0.000,161.262,172.000,11.178,,
2567-08-21 17:47:58 - 2567-08-21 17:51:41,54.845,Running,1.047,222.717,,5.178,4.004,0.000,0.000,0.071,0.071,0.858,186.857,193.000,16.779,,
2567-08-21 17:59:26 - 2567-08-21 18:03:02,57.166,Running,1.030,215.898,2.340,5.135,4.117,,,,,,,,17.773,,
2567-08-21 18:10:43 - 2567-08-21 18:14:30,55.000,Running,1.039,227.100,,5.176,4.081,0.000,0.000,0.667,0.333,0.000,156.667,167.000,16.546,,
2567-08-21 18:23:09 - 2567-08-21 18:27:16,62.144,Running,1.013,246.055,11.360,5.300,3.944,,,,,,,,17.256,,
2567-08-22 17:24:33 - 2567-08-22 18:34:00,550.113,Running,10.025,3570.027,0.250,7.166,4.631,0.000,0.208,0.228,0.564,0.000,154.648,173.000,10.573,54.000,34.000
2567-08-23 17:23:19 - 2567-08-23 18:28:19,572.698,Running,10.141,3542.252,0.550,7.241,4.618,0.006,0.165,0.500,0.329,0.000,148.444,171.000,10.429,,
2567-08-30 06:21:35 - 2567-08-30 06:47:51,267.293,Running,5.022,1560.207,,5.668,3.756,0.007,0.030,0.280,0.683,0.000,158.020,171.000,11.612,,
2567-08-30 07:01:31 - 2567-08-30 07:03:11,23.133,Running,0.426,81.541,,5.008,4.114,0.000,0.000,0.000,0.000,1.000,188.500,194.000,19.471,,
2567-08-30 07:05:20 - 2567-08-30 07:06:44,23.367,Running,0.441,84.823,,5.051,4.191,0.000,0.000,0.200,0.600,0.200,165.800,177.000,19.721,,
2567-08-30 07:10:30 - 2567-08-30 07:13:10,23.223,Running,0.413,82.937,,5.163,4.090,0.000,0.000,0.000,0.500,0.500,175.429,189.000,19.324,,
2567-08-30 07:16:18 - 2567-08-30 07:17:48,23.110,Running,0.426,82.536,,6.182,3.913,,,,,,,,19.043,,
2567-08-30 07:22:47 - 2567-08-30 07:24:38,22.770,Running,0.406,83.054,,5.254,3.915,0.000,0.000,0.000,0.000,1.000,181.500,185.000,18.692,,
2567-08-30 17:18:18 - 2567-08-30 18:48:51,913.559,Running,16.242,5406.378,,7.259,4.613,0.008,0.056,0.395,0.435,0.106,157.813,188.000,11.457,,
2567-08-31 17:19:17 - 2567-08-31 18:17:48,642.102,Running,10.346,3457.067,2.570,7.203,4.633,0.003,0.046,0.178,0.341,0.432,167.003,188.000,12.452,58.000,33.000
