Date,Active energy burned(kcal),Activity,Distance(km),Duration(s),Elevation: Ascended(m),Elevation: Maximum(m),Elevation: Minimum(m),Heart rate zone: A Easy (<115bpm)(%),Heart rate zone: B Fat Burn (115-135bpm)(%),Heart rate zone: C Moderate Training (135-155bpm)(%),Heart rate zone: D Hard Training (155-175bpm)(%),Heart rate zone: E Extreme Training (>175bpm)(%),Heart rate: Average(count/min),Heart rate: Maximum(count/min),METs Average(kcal/hr·kg),Weather: Humidity(%),Weather: Temperature(degC)
2567-08-31 17:19:17 - 2567-08-31 18:17:48,642.102,Running,10.346,3457.067,2.570,7.203,4.633,0.003,0.046,0.178,0.341,0.432,167.003,188.000,12.452,58.000,33.000
2567-09-01 17:22:31 - 2567-09-01 17:51:52,280.460,Running,5.016,1756.971,0.260,7.189,4.568,0.011,0.282,0.456,0.117,0.134,146.772,184.000,10.921,,
2567-09-01 18:07:18 - 2567-09-01 18:39:58,400.775,Running,7.029,1930.065,2.300,7.210,4.570,0.000,0.000,0.008,0.051,0.941,189.711,201.000,13.775,,
2567-09-02 17:17:01 - 2567-09-02 18:08:59,503.785,Running,8.028,3115.397,0.260,7.167,4.707,0.006,0.063,0.754,0.177,0.000,146.476,162.000,11.033,,
2567-09-03 18:02:23 - 2567-09-03 18:57:57,529.763,Running,10.104,3334.666,,4.412,2.874,0.008,0.341,0.257,0.344,0.050,147.727,182.000,10.851,,
2567-09-04 17:21:00 - 2567-09-04 17:50:09,258.901,Running,5.028,1741.607,,4.207,2.967,0.000,0.183,0.580,0.237,0.000,144.123,169.000,10.226,,
2567-09-04 18:03:49 - 2567-09-04 18:12:37,126.923,Running,2.330,527.825,,4.244,3.133,0.000,0.000,0.029,0.229,0.742,177.724,194.000,15.962,,
2567-09-04 18:16:25 - 2567-09-04 18:25:55,116.359,Running,2.143,489.785,,4.235,2.998,0.000,0.000,0.026,0.113,0.861,183.557,194.000,15.641,,
2567-09-04 18:30:19 - 2567-09-04 18:39:48,114.288,Running,2.118,494.233,,4.908,3.043,0.000,0.000,0.018,0.097,0.885,186.593,196.000,15.287,,
2567-09-04 18:46:35 - 2567-09-04 18:54:52,109.975,Running,2.064,483.825,,4.165,2.819,0.000,0.000,0.010,0.051,0.939,187.367,197.000,15.123,,
2567-09-04 19:03:20 - 2567-09-04 19:11:15,109.455,Running,2.018,452.228,,4.247,2.987,0.000,0.000,0.021,0.074,0.905,187.287,198.000,15.921,,
2567-09-06 06:54:29 - 2567-09-06 07:17:23,151.780,Running,3.028,1373.467,,5.558,3.690,0.303,0.697,0.000,0.000,0.000,117.745,129.000,7.976,,
2567-09-06 17:09:54 - 2567-09-06 17:13:48,29.182,Running,0.544,234.193,,7.818,5.262,0.111,0.889,0.000,0.000,0.000,122.600,128.000,9.038,,
2567-09-06 17:14:21 - 2567-09-06 18:49:52,1006.820,Running,17.164,5669.516,,7.168,4.474,0.010,0.145,0.353,0.340,0.152,155.198,190.000,11.935,,
2567-09-07 17:34:54 - 2567-09-07 18:18:02,410.307,Running,7.090,2588.064,2.310,9.059,4.565,0.000,0.245,0.753,0.002,0.000,141.185,156.000,10.657,,
2567-09-10 17:57:42 - 2567-09-10 18:51:04,550.812,Running,10.115,3200.325,0.500,7.115,2.803,0.017,0.160,0.356,0.161,0.306,155.226,185.000,11.655,,
2567-09-11 17:13:59 - 2567-09-11 17:44:34,281.514,Running,5.017,1812.408,,4.270,2.952,0.003,0.433,0.444,0.120,0.000,139.033,164.000,10.769,,
2567-09-11 17:56:56 - 2567-09-11 18:00:23,55.663,Running,1.029,201.154,,3.968,3.056,0.000,0.000,0.053,0.211,0.736,179.737,190.000,18.073,,
2567-09-11 18:05:42 - 2567-09-11 18:11:29,56.227,Running,1.019,207.607,,7.179,3.002,0.000,0.000,0.087,0.304,0.609,174.855,191.000,17.720,,
2567-09-11 18:15:29 - 2567-09-11 18:19:15,53.697,Running,1.023,211.138,,6.403,2.887,0.000,0.000,0.044,0.111,0.845,182.644,191.000,16.905,,
2567-09-11 18:26:58 - 2567-09-11 18:30:58,55.023,Running,1.017,215.415,,3.982,2.904,0.000,0.000,0.021,0.125,0.854,183.708,192.000,16.900,,
2567-09-11 18:38:26 - 2567-09-11 18:42:06,53.131,Running,1.032,219.889,,4.046,2.837,0.000,0.000,0.000,0.143,0.857,181.357,189.000,16.793,,
2567-09-16 17:08:22 - 2567-09-16 17:49:28,416.747,Running,7.053,2464.309,8.070,7.219,4.501,0.006,0.029,0.352,0.613,0.000,156.344,171.000,11.476,,
2567-09-17 17:28:04 - 2567-09-17 18:30:42,562.106,Running,10.124,3196.714,0.250,7.262,2.647,0.052,0.223,0.211,0.301,0.213,152.204,186.000,12.218,,
2567-09-18 17:24:32 - 2567-09-18 17:57:27,287.623,Running (Indoor),5.014,1623.695,,,,0.124,0.048,0.600,0.228,0.000,143.739,162.000,11.642,84.000,27.000
2567-09-18 18:08:21 - 2567-09-18 18:16:10,112.948,Running (Indoor),2.019,454.590,,,,0.000,0.000,0.000,0.444,0.556,174.444,187.000,16.252,87.000,27.000
2567-09-18 18:23:36 - 2567-09-18 18:31:52,110.987,Running (Indoor),2.016,476.421,,,,0.000,0.000,0.000,0.000,1.000,182.686,189.000,15.380,93.000,25.000
2567-09-18 18:39:21 - 2567-09-18 18:43:10,57.590,Running (Indoor),1.022,219.260,,,,0.000,0.000,0.000,0.000,1.000,190.000,192.000,17.261,94.000,25.000
2567-09-20 06:21:07 - 2567-09-20 07:53:37,1023.130,Running,16.023,5427.894,,7.250,4.670,0.000,0.049,0.321,0.285,0.345,163.353,192.000,12.613,,
2567-09-23 06:32:25 - 2567-09-23 07:29:05,472.535,Running,7.789,2650.778,,8.714,4.757,0.074,0.239,0.243,0.276,0.168,149.644,180.000,10.810,94.000,27.000
2567-09-24 17:54:50 - 2567-09-24 18:49:36,546.543,Running,10.117,3229.752,,4.289,2.769,0.082,0.170,0.195,0.279,0.274,154.036,184.000,11.323,,
2567-09-25 17:45:10 - 2567-09-25 18:17:08,280.378,Running,5.008,1722.477,,5.860,2.788,0.049,0.148,0.707,0.096,0.000,143.154,168.000,11.562,,
2567-09-25 18:24:43 - 2567-09-25 18:32:56,114.455,Running,2.120,484.129,0.510,4.168,2.851,0.000,0.000,0.020,0.152,0.828,180.444,190.000,15.583,,
2567-09-25 18:37:26 - 2567-09-25 18:45:16,109.271,Running,2.040,468.149,2.250,4.162,2.958,0.000,0.000,0.000,0.096,0.904,187.160,197.000,15.560,,
2567-09-25 18:52:04 - 2567-09-25 18:58:59,90.686,Running,1.690,415.312,,4.148,2.837,0.000,0.000,0.000,0.099,0.901,185.543,192.000,14.801,,
2567-09-25 19:05:39 - 2567-09-25 19:09:35,54.380,Running,1.018,232.240,,4.162,2.953,0.000,0.000,0.000,0.000,1.000,185.857,192.000,15.477,,
2567-09-27 16:52:29 - 2567-09-27 18:23:20,979.633,Running,15.003,5446.116,,7.377,4.507,0.001,0.124,0.339,0.536,0.000,154.114,175.000,12.093,,
2567-09-28 17:39:38 - 2567-09-28 18:23:58,458.463,Running,8.018,2657.223,,7.681,4.563,0.004,0.194,0.460,0.244,0.098,150.855,185.000,11.670,,
2567-09-28 18:28:59 - 2567-09-28 18:35:54,66.093,Running,1.011,415.703,,9.340,5.305,0.000,0.060,0.940,0.000,0.000,146.512,153.000,11.123,,
2567-09-29 17:25:35 - 2567-09-29 17:50:21,205.625,Running,4.038,1484.419,,7.151,4.652,0.020,0.458,0.315,0.207,0.000,140.051,170.000,9.667,,
2567-09-29 17:59:15 - 2567-09-29 18:10:01,141.436,Running,2.655,645.710,2.130,9.138,4.674,0.000,0.000,0.000,0.195,0.805,181.250,191.000,14.587,,
